node,row_idx,L_i_r_db,level_bin_idx,is_clean_row
Node3-Bogota,42,-20.090120067370943,2,True
Node3-Bogota,43,-19.518634179901092,6,True
Node3-Bogota,44,-19.22481186479098,6,True
Node3-Bogota,45,-19.979120601496717,4,True
Node3-Bogota,46,-19.678009768759452,6,True
Node3-Bogota,47,-20.03840293094214,3,True
Node3-Bogota,48,-20.069367509975635,2,True
Node3-Bogota,49,-19.864761626948237,4,True
Node3-Bogota,50,-19.78812473866566,5,True
Node3-Bogota,51,-19.871929795976012,4,True
Node3-Bogota,52,-20.0420325763313,3,True
Node3-Bogota,53,-20.04290853179767,3,True
Node3-Bogota,54,-20.23652780233457,0,True
Node3-Bogota,55,-20.19305947682983,0,True
Node3-Bogota,56,-20.140120297276084,1,True
Node3-Bogota,57,-20.191019984076426,0,True
Node3-Bogota,58,-20.222830539659117,0,True
Node3-Bogota,59,-20.157364610079973,1,True
Node3-Bogota,60,-20.23214323575143,0,True
Node3-Bogota,61,-20.09494431696943,2,True
Node3-Bogota,62,-19.76238980944018,5,True
Node3-Bogota,63,-20.197451651344075,0,True
Node3-Bogota,64,-20.303408127319642,0,True
Node3-Bogota,65,-20.23003500377999,0,True
Node3-Bogota,66,-19.97452800975281,4,True
Node3-Bogota,67,-20.19206046020515,0,True
Node3-Bogota,68,-20.080703874944124,2,True
Node3-Bogota,69,-19.942470120262897,4,True
Node3-Bogota,70,-20.02048893627181,3,True
Node3-Bogota,71,-20.034345638020145,3,True
Node3-Bogota,72,-20.13099241142549,1,True
Node3-Bogota,73,-20.288636222403497,0,True
Node3-Bogota,74,-19.959653725795654,4,True
Node3-Bogota,75,-20.246428325760224,0,True
Node3-Bogota,76,-20.192051747962818,0,True
Node3-Bogota,77,-20.179533250092934,1,True
Node3-Bogota,78,-20.17736747267775,1,True
Node3-Bogota,79,-20.06502635429991,3,True
Node3-Bogota,80,-20.17711304379359,1,True
Node3-Bogota,81,-20.07579758800136,2,True
Node3-Bogota,82,-20.06484783714092,3,True
Node3-Bogota,83,-20.039361333348822,3,True
Node3-Bogota,84,-20.156669759020026,1,True
Node3-Bogota,85,-20.03187580325227,3,True
Node3-Bogota,86,-19.67251739524399,6,True
Node3-Bogota,87,-20.081572881586403,2,True
Node3-Bogota,88,-20.192632441977075,0,True
Node3-Bogota,89,-20.12689734736981,1,True
Node3-Bogota,90,-19.8063410384452,5,True
Node3-Bogota,91,-20.097613133901667,2,True
Node3-Bogota,92,-20.13063611308184,1,True
Node3-Bogota,93,-20.079579798276008,2,True
Node3-Bogota,94,-20.09935135997157,2,True
Node3-Bogota,95,-20.11552485756645,1,True
Node3-Bogota,96,-19.734515926153236,5,True
Node3-Bogota,97,-20.109063222687567,2,True
Node3-Bogota,98,-19.44147897862915,6,True
Node3-Bogota,99,-19.998387199161193,4,True
Node3-Bogota,100,-20.163999590607844,1,True
Node3-Bogota,101,-20.231088083817756,0,True
Node3-Bogota,102,-20.11343060988535,1,True
Node3-Bogota,103,-20.15313013181948,1,True
Node3-Bogota,104,-19.93940273036001,4,True
Node4-Bogota,0,-20.54991983615585,0,True
Node4-Bogota,1,-21.197353273559887,0,True
Node4-Bogota,2,-20.386799230759657,1,True
Node4-Bogota,3,-19.545179132716225,5,True
Node4-Bogota,4,-19.349690771440756,6,True
Node4-Bogota,5,-20.134015881866603,2,True
Node4-Bogota,6,-20.41390358191801,1,True
Node4-Bogota,7,-20.323528523471346,1,True
Node4-Bogota,8,-20.07067712742242,2,True
Node4-Bogota,9,-20.71731619347822,0,True
Node4-Bogota,10,-20.741257690982568,0,True
Node4-Bogota,11,-19.701779535514532,5,True
Node4-Bogota,12,-20.54328567927054,1,True
Node4-Bogota,13,-19.675836502013468,5,True
Node4-Bogota,14,-20.77189555057639,0,True
Node4-Bogota,15,-21.094677741762336,0,True
Node4-Bogota,16,-20.557149965954054,0,True
Node4-Bogota,17,-20.0008768431152,3,True
Node4-Bogota,18,-20.018750836630073,2,True
Node4-Bogota,19,-18.97740167443113,6,True
Node4-Bogota,20,-19.58883635065684,5,True
Node4-Bogota,21,-20.041753391955346,2,True
Node4-Bogota,22,-19.652288702906752,5,True
Node4-Bogota,23,-19.87578801239683,3,True
Node4-Bogota,24,-19.811044429876112,4,True
Node4-Bogota,25,-20.353224332001282,1,True
Node4-Bogota,26,-19.64860664092205,5,True
Node4-Bogota,27,-19.71045992967874,5,True
Node4-Bogota,28,-18.85860264036904,6,True
Node4-Bogota,29,-19.786302653866656,4,True
Node4-Bogota,30,-18.231105481528935,6,True
Node4-Bogota,31,-19.756881221273897,4,True
Node4-Bogota,32,-20.000499459693927,3,True
Node4-Bogota,33,-21.125850439770208,0,True
Node4-Bogota,34,-21.015117845968067,0,True
Node4-Bogota,35,-19.72790728339995,4,True
Node4-Bogota,36,-20.143952635381876,2,True
Node4-Bogota,37,-20.829766300793985,0,True
Node4-Bogota,38,-20.240608192879037,2,True
Node4-Bogota,39,-18.838042750441936,6,True
Node4-Bogota,40,-20.430560179935682,1,True
Node4-Bogota,41,-20.63786691488128,0,True
Node4-Bogota,42,-19.63628539343418,5,True
Node4-Bogota,43,-20.30469854254521,2,True
Node4-Bogota,44,-19.880067028433672,3,True
Node4-Bogota,45,-19.04222836053554,6,True
Node4-Bogota,46,-19.966803450934485,3,True
Node4-Bogota,47,-19.979307818244955,3,True
Node4-Bogota,48,-20.83457689956454,0,True
Node4-Bogota,49,-19.82567743823857,4,True
Node4-Bogota,50,-19.956387095372698,3,True
Node4-Bogota,51,-19.910365031252383,3,True
Node4-Bogota,52,-19.4528971882561,6,True
Node4-Bogota,53,-19.803951822927274,4,True
Node4-Bogota,54,-20.274315313702573,2,True
Node4-Bogota,55,-18.53402770644813,6,True
Node4-Bogota,56,-20.40148185609609,1,True
Node4-Bogota,57,-19.701081654446213,5,True
Node4-Bogota,58,-20.37030371581077,1,True
Node4-Bogota,59,-19.770623373083794,4,True
Node4-Bogota,60,-19.177711686713693,6,True
Node4-Bogota,61,-19.328443786778706,6,True
Node4-Bogota,62,-18.71996023554552,6,True
Node4-Bogota,63,-19.493081296644064,6,True
Node4-Bogota,64,-20.007453707466667,3,True
Node4-Bogota,65,-19.76637704089184,4,True
Node4-Bogota,66,-19.7395904860739,4,True
Node4-Bogota,67,-21.108889966126135,0,True
Node4-Bogota,68,-19.537643638417542,6,True
Node4-Bogota,69,-19.83538114842253,4,True
Node4-Bogota,70,-20.204344247644563,2,True
Node4-Bogota,71,-19.662205489521288,5,True
Node4-Bogota,72,-19.99883721995628,3,True
Node4-Bogota,73,-21.367068451919106,0,False
Node4-Bogota,74,-20.34253861488554,1,True
Node4-Bogota,75,-21.350852714584747,0,False
Node4-Bogota,76,-19.75667260198216,4,True
Node4-Bogota,77,-20.318117474137704,1,True
Node4-Bogota,78,-19.97008983422075,3,True
Node4-Bogota,79,-19.736494435670878,4,True
Node4-Bogota,80,-19.12848304915087,6,True
Node4-Bogota,81,-20.28837545640973,2,True
Node4-Bogota,82,-19.902183461121336,3,True
Node4-Bogota,83,-19.717066868888214,4,True
Node4-Bogota,84,-19.62912138525632,5,True
Node4-Bogota,85,-20.132460717796228,2,True
Node4-Bogota,86,-20.12356649147609,2,True
Node4-Bogota,87,-19.843903118989815,4,True
Node4-Bogota,88,-20.310774366613593,2,True
Node4-Bogota,89,-19.124527770395463,6,False
Node4-Bogota,90,-20.1806878702916,2,True
Node4-Bogota,91,-20.017644595008107,3,True
Node4-Bogota,92,-20.928278246384195,0,True
Node4-Bogota,93,-20.452786195611644,1,True
Node4-Bogota,94,-19.93574261210309,3,True
Node4-Bogota,95,-19.474913175638996,6,True
Node4-Bogota,96,-19.560797770543633,5,True
Node4-Bogota,97,-20.163704120581727,2,True
Node4-Bogota,98,-20.477492149069207,1,True
Node4-Bogota,99,-20.43317630755189,1,True
Node4-Bogota,100,-20.380976419973138,1,True
Node4-Bogota,101,-19.745226543679603,4,True
Node4-Bogota,102,-19.68284727362243,5,True
Node4-Bogota,103,-20.65932359424887,0,True
Node4-Bogota,104,-19.706764359269066,5,True
Node5-Bogota,0,-21.46800873415164,0,True
Node5-Bogota,1,-21.750670189044797,0,False
Node5-Bogota,2,-20.509401492355032,3,True
Node5-Bogota,3,-19.926756029797545,5,True
Node5-Bogota,4,-18.493238496497867,6,True
Node5-Bogota,5,-20.45887274561793,3,True
Node5-Bogota,6,-20.356615943495186,3,True
Node5-Bogota,7,-20.53471371328783,3,True
Node5-Bogota,8,-20.538601755361043,3,False
Node5-Bogota,9,-20.896528487809864,1,True
Node5-Bogota,10,-21.64177354510356,0,True
Node5-Bogota,11,-19.08188678322729,6,True
Node5-Bogota,12,-21.497771980186293,0,True
Node5-Bogota,13,-19.12302053957154,6,True
Node5-Bogota,14,-20.59859805543877,2,True
Node5-Bogota,15,-21.27927957570324,0,True
Node5-Bogota,16,-20.761347833033856,1,True
Node5-Bogota,17,-20.266587461390543,4,True
Node5-Bogota,18,-20.741067105872986,2,True
Node5-Bogota,19,-18.59303093339579,6,True
Node5-Bogota,20,-19.89019110787298,5,True
Node5-Bogota,21,-20.34399063482234,3,True
Node5-Bogota,22,-21.225532991384007,0,True
Node5-Bogota,23,-20.58154564021023,2,True
Node5-Bogota,24,-20.160848259759483,4,True
Node5-Bogota,25,-20.402430009055074,3,True
Node5-Bogota,26,-20.57416179227635,2,True
Node5-Bogota,27,-19.614716571653236,6,True
Node5-Bogota,28,-19.68970154064054,6,True
Node5-Bogota,29,-20.325103879131525,3,True
Node5-Bogota,30,-16.746953190347053,6,True
Node5-Bogota,31,-20.379092449436527,3,True
Node5-Bogota,32,-20.253244664514824,4,True
Node5-Bogota,33,-21.499621019686558,0,True
Node5-Bogota,34,-21.150081718992492,1,True
Node5-Bogota,35,-21.198407049411053,0,True
Node5-Bogota,36,-20.571004979708462,2,True
Node5-Bogota,37,-20.73773534195137,2,True
Node5-Bogota,38,-21.189094263250258,0,True
Node5-Bogota,39,-18.973729790856048,6,True
Node5-Bogota,40,-21.340753810344758,0,True
Node5-Bogota,41,-21.472337486567696,0,True
Node5-Bogota,42,-20.960083659579446,1,True
Node5-Bogota,43,-21.250480496438872,0,True
Node5-Bogota,44,-20.583529020400015,2,True
Node5-Bogota,45,-19.694291185333462,6,True
Node5-Bogota,46,-19.926178217753208,5,True
Node5-Bogota,47,-20.635654111678924,2,True
Node5-Bogota,48,-20.90002609131095,1,True
Node5-Bogota,49,-20.985791690234358,1,True
Node5-Bogota,50,-19.846298794671,5,True
Node5-Bogota,51,-20.266348107462022,4,True
Node5-Bogota,52,-19.27192396484574,6,True
