node,row_idx,is_train,is_test,is_clean,L_i_r_db,state_idx,A_hat_r_db
Node2-Bogota,28,True,False,True,-19.01740550994873,5,-0.24242407868998922
Node2-Bogota,29,True,False,True,-20.872451782226562,1,0.04716406358304874
Node2-Bogota,30,True,False,True,-15.1444673538208,5,-0.24242407868998922
Node2-Bogota,31,True,False,True,-20.58519172668457,2,0.2253384608630986
Node2-Bogota,32,True,False,True,-19.39810848236084,5,-0.24242407868998922
Node2-Bogota,33,True,False,True,-21.48953151702881,0,0.10935112210207208
Node2-Bogota,34,True,False,True,-21.514450073242188,0,0.10935112210207208
Node2-Bogota,35,True,False,True,-20.558507919311523,3,0.10615283481834471
Node2-Bogota,36,True,False,True,-20.002144813537598,4,-0.2225930700006411
Node2-Bogota,37,True,False,True,-20.498766899108887,3,0.10615283481834471
Node2-Bogota,38,True,False,True,-21.058127403259277,0,0.10935112210207208
Node2-Bogota,39,True,False,True,-18.113320350646973,5,-0.24242407868998922
Node2-Bogota,40,True,False,True,-21.276957511901855,0,0.10935112210207208
Node2-Bogota,41,True,False,True,-21.786394119262695,0,0.10935112210207208
Node2-Bogota,42,True,False,True,-20.32188892364502,3,0.10615283481834471
Node2-Bogota,43,True,False,True,-19.859124183654785,5,-0.24242407868998922
Node2-Bogota,44,True,False,True,-19.90226459503174,5,-0.24242407868998922
Node2-Bogota,45,True,False,True,-20.27719211578369,3,0.10615283481834471
Node2-Bogota,46,True,False,True,-19.903918266296387,4,-0.2225930700006411
Node2-Bogota,47,True,False,True,-20.988057136535645,1,0.04716406358304874
Node2-Bogota,48,True,False,True,-20.812691688537598,1,0.04716406358304874
Node2-Bogota,49,True,False,True,-20.826539993286133,1,0.04716406358304874
Node2-Bogota,50,True,False,True,-20.686123847961426,2,0.2253384608630986
Node2-Bogota,51,True,False,True,-19.94719123840332,4,-0.2225930700006411
Node2-Bogota,52,True,False,True,-19.998279571533203,4,-0.2225930700006411
Node2-Bogota,53,True,False,True,-20.057427406311035,4,-0.2225930700006411
Node2-Bogota,54,True,False,True,-21.56027317047119,0,0.10935112210207208
Node2-Bogota,55,True,False,True,-19.511473655700684,5,-0.24242407868998922
Node2-Bogota,56,True,False,True,-20.743098258972168,2,0.2253384608630986
Node2-Bogota,57,True,False,True,-19.93319606781006,4,-0.2225930700006411
